circRNA	pig-testis-Testis-31	pig-testis-Testis-73	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	pig-testis-Testis-54	pig-liver-old-2	pig-testis-Testis-05	pig-testis-Testis-65	pig-testis-Testis-16	pig-liver-young-2
10:46690146-46690694:+	0	0	0	7	0	0	0	0	0	0	0
10:46706437-46717523:+	0	0	0	9	0	0	0	0	0	0	0
10:46911903-46921751:-	0	0	0	18	0	0	0	0	0	0	0
10:48101947-48110019:-	12	0	0	0	7	0	0	0	8	0	0
10:48206020-48213577:+	0	0	6	0	0	0	0	0	0	0	0
10:48206020-48225744:+	11	0	0	0	0	0	0	0	0	0	0
10:48499312-48507450:-	8	0	0	0	0	0	0	0	0	0	0
10:48501103-48505841:-	6	0	0	0	0	0	0	0	0	0	0
10:48532137-48562529:-	0	0	0	0	0	0	9	0	0	0	0
10:48538969-48550130:-	0	0	0	11	0	0	0	0	0	0	0
10:48538969-48562529:-	0	0	0	0	0	0	6	0	0	0	0
10:48540911-48551873:-	0	0	0	0	0	0	9	0	0	0	0
10:48547631-48562529:-	0	0	8	0	0	0	0	0	0	0	0
10:48572387-48573940:-	0	0	8	0	0	0	0	0	0	0	0
10:48702208-48703265:-	0	0	0	0	0	0	0	0	0	0	16
10:48719023-48735750:-	0	0	0	12	0	0	0	0	0	0	0
10:48735608-48739057:-	0	0	0	9	0	0	0	0	0	0	0
10:48811920-48817035:-	6	0	0	0	0	0	0	0	0	0	0
10:48811920-48819897:-	6	6	0	0	0	0	0	0	0	7	0
10:48813619-48814435:-	0	0	0	19	0	0	0	0	0	0	0
10:48814822-48820979:-	41	9	0	0	0	10	8	12	12	9	0
10:48815858-48818387:-	9	0	0	0	0	0	0	0	0	0	0
10:48816879-48818387:-	15	0	0	0	0	0	0	0	0	0	0
10:48818274-48824559:-	13	0	0	0	0	0	0	0	0	0	0
10:48818274-48827379:-	8	0	0	0	0	0	0	0	0	0	0
10:48819834-48824559:-	7	0	0	0	0	0	0	0	0	0	0
10:48820846-48824559:-	62	17	6	11	13	19	0	26	8	14	17
10:48820846-48827379:-	45	0	0	0	8	0	0	10	0	0	0
10:48831897-48849331:-	14	13	0	0	6	0	0	6	0	7	0
10:48839071-48849331:-	8	0	0	0	0	0	0	0	0	6	0
10:48869558-48873577:+	0	8	0	0	0	0	0	6	0	0	0
10:48873271-48873577:+	28	0	0	0	0	12	0	0	0	6	0
10:48901135-48907143:-	6	7	0	0	0	0	0	0	6	0	31
10:48904199-48907143:-	8	0	0	0	0	0	0	0	0	0	29
10:48911447-48916899:-	13	14	0	0	6	15	18	0	0	7	0
10:49043639-49053905:+	9	0	0	0	0	0	0	0	0	0	0
10:49890047-49958985:-	6	0	0	0	0	0	0	0	0	0	0
10:50624807-50631082:+	18	0	0	0	0	0	0	0	0	0	0
10:50665746-50667813:+	21	0	0	0	11	0	0	0	0	7	0
10:50722136-50724058:-	0	0	0	8	0	0	0	0	0	0	0
10:51020668-51020952:-	0	0	0	11	0	0	0	0	0	0	0
10:51701526-51708537:+	11	0	0	0	0	0	0	8	0	6	0
10:52338385-52355962:+	10	0	0	0	0	0	0	0	0	0	0
10:52517309-52521416:-	7	0	0	0	0	0	0	0	0	0	0
10:52544380-52548403:-	14	0	0	0	0	6	0	0	0	0	0
10:52929649-52952292:+	0	0	0	8	0	0	0	0	0	0	0
10:52929649-52963179:+	0	0	0	6	0	0	0	0	0	0	0
10:53085503-53311138:-	0	0	0	0	0	7	0	0	0	0	0
10:53089611-53104147:-	61	8	6	14	10	17	0	14	8	14	0
10:53089611-53202893:-	0	0	0	0	0	0	0	10	0	0	0
10:53089611-53311138:-	0	14	0	0	11	9	0	19	6	19	0
10:53103968-53169782:-	7	0	0	0	7	9	0	12	0	7	0
10:53103968-53202893:-	0	0	0	11	0	0	0	0	0	0	15
10:53103968-53311138:-	0	10	0	0	0	10	0	9	10	9	0
10:53144968-53149101:-	7	0	0	8	0	0	0	0	0	0	0
10:53144968-53169782:-	7	8	0	0	8	0	0	6	0	0	0
10:53144968-53202893:-	0	7	0	0	0	0	0	0	0	0	0
10:53144968-53311138:-	9	15	0	0	8	15	0	16	0	14	0
10:53148848-53311138:-	10	7	0	0	0	0	0	6	0	6	0
10:53169686-53202893:-	198	32	10	18	35	36	21	37	16	27	0
10:53169686-53245866:-	6	0	0	0	0	0	0	0	0	0	0
10:53169686-53311138:-	56	19	0	0	16	22	0	32	0	25	0
10:53197802-53202893:-	152	26	0	0	20	25	9	22	9	8	0
10:53197802-53227401:-	14	0	0	0	0	0	0	7	0	0	0
10:53197802-53245866:-	12	0	0	0	0	7	0	13	0	8	0
10:53197802-53311138:-	0	11	0	0	0	14	0	7	0	0	0
10:53200074-53311138:-	9	0	0	0	0	0	0	0	0	0	0
10:53202789-53311138:-	16	0	0	0	0	0	0	6	0	0	0
10:55344473-55364240:-	7	0	0	0	0	0	0	0	0	0	0
10:55711345-55730144:+	19	0	0	0	0	0	0	6	0	0	0
10:55711345-55842852:+	0	8	0	0	9	0	0	0	0	15	0
10:55712766-55823299:+	0	0	0	0	0	6	0	0	0	0	0
10:55712766-55842852:+	0	0	0	0	0	0	0	0	0	6	0
10:55730060-55842852:+	0	0	0	0	0	0	0	6	7	0	0
10:55764770-55828740:+	7	0	0	0	0	0	0	0	0	0	0
10:55814060-55842852:+	0	6	0	0	0	0	0	0	0	0	0
10:55821351-55840136:+	65	14	0	0	6	16	0	34	6	19	0
10:55828685-55842852:+	245	48	0	0	71	62	0	82	33	66	0
10:55840070-55842852:+	15	0	0	0	0	0	0	0	0	0	0
10:55918130-55957885:+	7	0	0	0	0	0	0	0	0	0	0
10:55918130-55966787:+	6	0	0	0	0	0	0	0	0	0	0
10:55957774-55962244:+	43	8	0	0	13	14	0	18	0	10	0
10:55957774-55966787:+	55	6	0	0	8	16	0	32	0	0	0
10:56002012-56010480:+	6	0	0	0	0	0	0	0	0	0	0
10:56355698-56372536:-	34	9	0	0	0	8	0	0	6	6	0
10:57126905-57194267:-	0	0	0	0	0	0	0	0	0	0	13
10:57137535-57190844:-	0	0	0	16	0	0	0	0	0	0	0
10:57167880-57168112:-	0	0	0	11	0	0	0	0	0	0	0
10:57167880-57194267:-	0	0	0	9	0	0	0	0	0	0	0
10:57167880-57201211:-	0	0	0	0	0	0	12	0	0	0	0
10:57167880-57212680:-	0	0	7	0	0	0	13	0	0	0	0
10:57184078-57212680:-	0	0	0	0	0	0	15	0	0	0	0
10:57194077-57236044:-	0	0	0	0	0	0	8	0	0	0	0
10:57201060-57212680:-	0	0	0	0	0	0	7	0	0	0	0
10:57211006-57236044:-	0	0	0	0	0	0	11	0	0	0	0
10:57227398-57252743:-	0	0	0	0	0	0	14	0	0	0	0
10:57227398-57351952:-	0	0	0	6	0	0	0	0	0	0	0
10:57250367-57252743:-	0	8	0	0	6	0	34	0	0	0	0
10:57250367-57297790:-	6	0	0	0	0	0	0	0	0	0	0
10:57250367-57351952:-	0	0	0	0	0	0	0	0	0	0	10
10:57297658-57351952:-	0	0	0	8	0	0	0	0	0	0	0
10:57719626-57721859:-	8	0	0	0	0	0	0	0	0	0	0
10:5777658-5797656:+	37	0	0	0	0	0	0	11	0	0	0
