circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	pig-testis-Testis-31	pig-testis-Testis-73	cow-testis-adult-2	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	cow-liver-B005	pig-testis-Testis-54	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	pig-liver-old-2	cow-testis-adult-3	pig-testis-Testis-05	pig-testis-Testis-65	cow-liver-K006	cow-liver-K011	cow-liver-B008	pig-testis-Testis-16	cow-liver-B022	cow-liver-K013	cow-liver-B004	pig-liver-young-2	cow-liver-B027
10:1732623-1740470:+	0	12	0	0	0	42	0	0	0	0	0	0	9	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
10:17339107-17347866:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:17400003-17402014:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1740348-1795444:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:17489226-17491728:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:17565409-17573560:-	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18449412-18463778:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:18461764-18463778:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18752256-18772464:-	0	12	0	0	0	0	0	0	0	0	0	6	9	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0
10:18802525-18846210:-	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18828812-18846210:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18829548-18834841:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18829548-18861533:-	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:18842844-18994673:-	0	0	0	0	0	6	0	0	0	0	0	11	16	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0
10:19074730-19075159:+	0	0	0	21	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0
10:19098553-19109001:+	0	0	0	52	6	0	0	0	9	0	12	0	0	0	0	0	0	0	11	9	0	0	0	8	0	0	0	0	0
10:19433313-19441358:+	13	0	0	0	0	0	0	0	0	0	0	7	6	7	10	7	0	0	0	0	6	0	8	0	0	0	6	0	9
10:19440704-19451131:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:19440704-19460825:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
10:19494073-19513580:+	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
10:19557374-19570026:-	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:19949147-19952852:+	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:19961627-19974008:+	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
10:19961627-19988973:+	0	0	0	0	0	0	0	0	0	0	0	30	48	0	0	32	0	6	0	0	0	0	0	0	0	0	6	0	0
10:19961627-20032730:+	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7
10:19980835-19983593:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:20060943-20073030:-	0	0	0	6	0	0	0	0	6	0	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	25	0
10:20060943-20078273:-	0	0	0	20	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	0	0
10:20065004-20073030:-	0	0	0	23	0	0	0	0	6	0	16	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0
10:20065004-20078273:-	0	0	0	10	7	0	0	0	11	0	13	0	0	0	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0
10:20178562-20179144:+	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:20423358-20429869:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:20423358-20438201:-	0	0	0	27	6	0	0	0	8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
10:20423358-20455885:-	0	0	0	15	0	0	0	6	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:20423358-20481282:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:20423358-20487072:-	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:20423358-20492105:-	0	0	0	16	0	0	0	13	0	0	17	0	0	0	0	0	7	0	13	12	0	0	0	0	0	0	0	0	0
10:20428974-20492105:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:20438110-20469728:-	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
