circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:52294319-52296744:+	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
10:52853409-52868048:-	0	0	0	0	0	0	0	0	0	8	0	0	6	0	0	0	0	14
10:52853409-52876188:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
10:53028883-53036333:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
10:53028883-53042492:-	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0
10:53041160-53042492:-	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0
10:54013955-54053191:-	0	0	0	12	0	0	11	0	0	8	0	0	0	0	0	0	0	0
10:54013955-54082768:-	0	0	0	6	0	0	7	0	0	0	8	0	0	0	0	0	0	6
10:54049152-54053191:-	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
10:54049152-54056729:-	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0
10:54049152-54082768:-	0	0	0	9	0	0	11	0	0	0	7	0	0	0	0	0	0	0
10:54354294-54357808:+	0	0	0	0	0	17	15	0	0	12	0	6	0	0	0	6	0	0
10:54909680-54910956:+	0	7	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:55967374-56009085:-	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
10:56007445-56009085:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:56035621-56051571:-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:57922424-57929144:+	0	0	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0
