circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
29:9552574-9559788:+	0	0	0	0	0	21	8	0	20	0	0	14	15	0	15	10	7	11	7	8	0	0	6	7	0
29:9552574-9567248:+	0	0	0	48	6	70	45	0	50	62	0	62	54	0	52	49	82	88	57	43	0	0	65	30	10
29:9552574-9575564:+	0	0	0	18	0	19	13	0	27	43	0	45	48	0	0	17	55	78	28	15	0	0	41	20	0
29:9552574-9577718:+	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
29:9552574-9585950:+	0	0	0	0	0	13	0	0	0	11	0	6	8	0	0	7	11	6	6	0	0	0	6	13	0
29:9552574-9605079:+	0	0	0	35	0	19	45	0	26	40	0	45	50	0	8	36	48	102	42	36	0	0	35	8	0
29:9581081-9605079:+	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29:9596586-9605079:+	0	0	0	8	0	11	7	0	15	11	0	8	9	0	13	7	7	19	8	7	0	0	9	0	6
2:104146279-104183791:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
2:106472935-106479778:-	0	0	0	19	67	35	21	0	17	14	0	22	22	0	51	20	11	15	27	14	30	0	25	38	36
2:106639286-106642680:+	0	0	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	8
2:119681526-119682342:+	0	0	0	0	18	14	0	0	0	0	0	14	0	0	11	0	0	0	0	8	0	0	0	18	17
2:119774064-119776242:+	0	0	0	0	12	29	0	0	0	0	0	7	0	0	13	0	7	0	9	0	0	0	9	12	6
2:120839667-120843339:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2:120841656-120843339:-	0	0	0	0	24	7	0	0	0	0	0	0	0	0	19	0	0	0	0	0	15	0	0	0	11
2:125317085-125339879:+	0	0	0	0	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
2:126448966-126452456:-	0	0	0	24	0	13	19	0	59	35	0	27	24	0	6	20	19	38	32	26	6	0	18	0	0
2:127585285-127594961:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2:129793767-129804019:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2:132811629-132823456:-	0	0	0	0	6	7	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7
2:135815879-135818785:+	0	0	0	8	0	22	8	0	6	0	0	11	12	0	21	9	13	9	10	17	0	0	7	20	0
2:135815879-135830409:+	0	0	0	0	6	13	0	0	0	0	0	6	0	0	11	0	11	0	0	9	0	0	0	8	0
2:17690781-17694828:+	0	0	0	7	0	0	0	0	8	0	0	15	13	0	0	0	11	24	0	0	0	0	7	0	0
2:22806400-22807760:+	0	0	0	9	21	42	0	0	0	6	0	0	0	0	47	6	0	0	0	0	10	0	0	42	20
2:25400368-25404468:+	0	0	0	0	0	8	0	0	8	0	0	0	0	0	6	8	0	7	0	0	0	0	6	6	0
2:26372010-26384300:-	0	0	0	0	0	12	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0
2:26445782-26481121:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2:26471552-26481121:-	0	0	0	8	6	0	0	0	0	12	0	0	0	0	18	6	16	8	8	6	0	0	6	8	0
2:26477868-26481121:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	7	0	0	0	0	0	6	0
2:27937039-27962616:+	0	0	0	0	6	0	0	0	0	9	0	14	0	0	0	0	9	0	0	0	7	0	10	0	11
2:27957895-27962616:+	0	0	0	0	6	19	0	0	8	0	0	12	0	0	15	0	17	9	6	0	0	0	7	18	0
2:27995618-27998352:+	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
2:27995618-28007259:+	0	0	0	7	7	8	10	0	16	22	0	27	7	0	10	12	27	11	11	11	0	0	29	8	8
2:28062806-28073908:+	0	0	0	0	29	25	16	0	8	0	0	45	0	0	25	7	19	11	13	0	12	0	29	21	15
2:28062806-28131736:+	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:31541830-31552378:+	0	0	0	12	0	25	13	0	21	15	0	25	10	0	30	14	20	22	12	25	0	0	23	6	0
2:34612168-34688967:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:43596899-43602712:-	0	0	0	0	0	57	7	0	0	0	0	10	11	0	76	8	0	13	0	0	0	0	6	73	8
2:4477420-4478134:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2:48309833-48316688:-	0	0	0	0	0	38	0	0	8	0	0	0	0	0	14	9	0	10	0	0	0	0	9	14	0
2:5199356-5205497:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2:6008438-6014315:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
