circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
24:19933285-20001642:-	0	0	0	0	22	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	11	0	0	0	6
24:19995428-20001642:-	0	0	0	0	120	29	0	0	0	0	0	0	0	0	56	0	6	0	0	0	86	0	0	27	50
24:20000968-20001642:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	12	0
24:20499647-20548779:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
24:20513463-20529766:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
24:20513463-20548779:-	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
24:21080626-21083841:+	0	0	0	0	0	13	0	0	0	0	0	0	9	0	13	0	0	0	0	6	0	0	0	16	0
24:21080626-21086865:+	0	0	0	6	0	27	0	0	11	8	0	0	0	0	26	0	9	10	0	0	7	0	0	20	7
24:21432049-21444372:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
24:21432049-21455432:-	0	0	0	6	0	10	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
24:22797251-22803479:+	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24:22993685-23024528:+	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
24:23016591-23024528:+	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
24:23521289-23588929:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24:23521289-23607573:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	14	0
