gene_id	ssc_liver_1	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_liver_10	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9	ssc_testis_10
ENSSSCG00000041100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	3.0	9.93	7.0	5.0	16.0	11.0	4.0
ENSSSCG00000041101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	38.0	48.0	59.0	71.0	18.0	43.0	67.0	96.0	66.37	34.0
ENSSSCG00000041102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	21.0	46.0	40.0	22.0	32.0	18.95	34.2	29.0	23.0	3.0
ENSSSCG00000041103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.6	2.0	3.0	3.0	3.35	10.0	11.0	9.0	0.0
ENSSSCG00000041104	0.0	0.0	0.0	0.0	2.0	3.0	3.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	2.11	2.02	6.12	13.16	8.11	6.0	10.1	47.0	43.0	26.0
ENSSSCG00000041105	22.0	14.0	41.0	39.0	97.0	126.0	240.0	29.0	144.0	41.0	0.0	4.0	14.0	17.0	96.0	176.0	213.0	275.0	160.0	170.0	216.0	523.0	484.0	336.0
ENSSSCG00000041106	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	3.0	7.0	3.0	2.0	3.0	2.04	1.0	3.0	0.0	0.0
ENSSSCG00000041107	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0
ENSSSCG00000041108	0.0	0.0	0.0	0.0	0.0	5.49	0.0	4.01	10.84	0.0	0.0	0.0	2.84	0.0	11.56	67.92	75.41	52.78	42.36	63.85	56.14	118.56	52.5	27.72
ENSSSCG00000041109	2.0	2.66	0.0	9.0	62.39	34.63	60.06	18.05	55.82	21.23	16.0	57.49	44.48	52.32	10.0	49.44	72.28	95.92	63.93	90.42	67.89	91.74	61.08	99.59
ENSSSCG00000041110	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	88.0	164.0	69.0	78.0	60.0	38.0	66.0	69.0	36.0	27.0
ENSSSCG00000041111	0.0	0.0	0.0	16.0	8.58	0.0	16.81	0.0	0.0	0.0	0.0	11.56	0.0	12.7	8.44	0.0	0.0	0.0	3.3	4.83	0.0	11.37	3.06	0.0
ENSSSCG00000041112	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	1.0	0.0	6.0	8.0	0.0
ENSSSCG00000041113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	21.0	12.0	9.0	7.0	20.0	14.0	18.0	12.0	6.0
ENSSSCG00000041114	806.52	941.17	438.81	620.48	871.04	883.22	1016.02	523.94	659.79	438.9	98.04	182.18	1730.41	1387.12	3414.62	20578.45	19375.85	14413.45	12496.62	13126.46	16618.06	16603.35	20126.66	5812.76
ENSSSCG00000041115	0.0	0.0	0.0	0.0	52.0	37.0	61.0	14.0	42.0	16.0	0.0	1.0	4.0	2.0	18.0	26.0	37.0	49.0	15.0	31.0	31.0	116.0	108.0	33.0
ENSSSCG00000041116	2.0	0.0	31.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	6.0	7.0	11.0	4.0	6.0	24.0	12.0	15.0
ENSSSCG00000041117	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	0.0
ENSSSCG00000041118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	0.0	0.0
ENSSSCG00000041119	2.0	3.0	0.0	14.0	33.0	47.0	35.0	21.0	45.0	41.0	4.0	43.0	33.0	53.0	26.0	91.0	52.0	79.0	80.0	112.0	80.0	59.99	38.0	76.0
ENSSSCG00000041120	5.0	5.06	13.0	1.0	35.53	24.29	37.45	7.82	19.25	5.24	0.0	7.48	31.35	28.78	5.67	24.88	50.06	43.88	34.15	42.49	49.52	169.51	157.6	62.86
ENSSSCG00000041121	40.0	36.0	51.0	65.0	44.0	41.0	55.0	20.0	26.0	22.0	0.0	9.0	22.0	30.0	47.0	92.0	109.0	96.0	78.0	56.0	80.0	345.0	310.0	161.0
ENSSSCG00000041123	50.0	24.0	0.0	14.0	97.0	99.0	127.0	67.0	69.0	47.0	4.0	60.0	193.0	122.0	97.0	188.0	403.0	370.0	397.0	309.0	397.0	509.0	354.0	234.0
ENSSSCG00000041124	0.0	2.0	1.0	1.0	0.45	5.02	3.95	0.0	0.0	0.0	0.0	2.91	1.0	1.0	0.0	3.35	9.29	7.15	1.27	4.5	5.52	8.02	6.45	4.0
ENSSSCG00000041125	23.85	32.01	0.0	45.0	93.31	110.93	80.03	54.06	97.84	77.24	0.0	30.37	207.4	90.78	10.21	33.01	25.99	26.93	20.51	15.78	22.04	34.46	10.72	32.64
ENSSSCG00000041127	17.0	24.0	0.0	7.0	13.0	60.0	70.0	46.0	72.0	57.0	6.0	9.0	0.0	6.0	3.0	9.0	8.0	6.0	19.0	6.0	26.0	15.0	5.0	84.0
ENSSSCG00000041128	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	2.0	0.0	1.0	7.0	5.0	1722.0	3335.99	3336.0	2662.99	2222.0	1579.1	3154.0	469.0	577.0	284.0
ENSSSCG00000041129	0.0	1.68	0.0	1.43	4.93	0.0	10.94	0.0	11.44	3.05	0.0	0.0	5.4	7.12	2.48	15.96	33.03	24.21	9.45	32.08	23.6	34.87	39.96	23.28
ENSSSCG00000041130	10.0	6.0	47.0	0.0	49.0	48.0	13.0	22.0	11.0	13.0	0.0	8.0	10.0	20.0	6.0	17.0	5.0	10.0	5.0	10.0	2.0	64.0	23.0	34.0
ENSSSCG00000041132	0.0	0.0	0.0	7.0	7.0	11.0	8.0	0.0	9.0	7.0	0.0	0.0	2.0	0.0	39.0	197.0	113.0	216.0	104.0	135.0	140.0	137.0	152.0	71.0
ENSSSCG00000041134	2.0	0.0	0.0	16.0	25.0	3.0	9.0	4.0	15.0	2.0	0.0	0.0	0.0	2.0	33.0	96.0	73.0	83.0	51.0	78.0	96.0	127.0	152.0	53.0
ENSSSCG00000041135	2.0	5.0	0.0	0.0	77.0	62.0	138.0	22.0	47.0	17.0	2.0	11.0	20.0	18.0	34.0	88.0	72.04	73.0	44.0	103.0	104.0	143.0	120.0	88.0
ENSSSCG00000041136	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	10.66	23.12	31.05	26.35	67.78	1.03	67.6	0.0	0.0	134.7
ENSSSCG00000041137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	39.0	46.0	83.0	29.0	33.0	40.0	10.0	1.0	7.0
ENSSSCG00000041138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	15.0	40.0	44.0	26.0	35.0	34.0	115.0	101.0	24.0
ENSSSCG00000041139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	9.0	35.0	20.0	43.0	64.0	86.0	42.0	1.0
ENSSSCG00000041140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	11.0	4.0	1.0	13.04	6.0	10.0	5.0	23.0
ENSSSCG00000041141	7.0	3.0	0.0	22.0	70.0	63.0	47.0	20.0	31.0	16.0	0.0	0.0	2.0	2.0	4.0	3.0	2.0	9.0	4.0	3.0	2.0	16.0	12.0	17.0
ENSSSCG00000041142	3.0	2.0	0.0	0.0	29.0	12.0	12.0	32.0	9.0	7.0	1.0	5.0	9.0	8.0	103.48	217.0	162.31	267.0	218.0	271.74	225.37	206.0	126.0	79.0
ENSSSCG00000041143	0.0	0.0	0.0	0.0	20.26	28.09	1.76	0.0	0.0	0.0	0.0	6.33	0.0	10.31	7.8	3.38	0.69	10.99	0.0	3.13	5.27	4.91	0.0	0.0
ENSSSCG00000041145	0.0	9.0	15.0	9.0	142.0	105.0	164.0	70.0	203.0	86.0	12.0	59.0	58.0	88.0	76.0	253.16	176.0	217.0	151.0	257.67	233.0	325.0	174.0	210.0
ENSSSCG00000041146	0.66	25.35	0.0	11.94	5.15	6.93	28.98	44.92	127.51	14.97	0.0	0.0	1.92	5.21	680.12	393.18	415.65	178.08	536.79	410.07	170.94	147.32	108.38	31.28
