gene_id	ssc_liver_1	ssc_liver_10	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_10	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9
ENSSSCG00000028602	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	2.0	2.0	1.0	2.0	4.0	4.0	0.0	0.0
ENSSSCG00000028609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	18.0	4.0	0.0	1.0	3.0	0.0	0.0	5.0	0.0	0.0
ENSSSCG00000028620	0.0	0.0	5.0	0.0	0.0	8.0	4.0	8.0	4.0	3.0	0.0	0.0	0.0	6.0	10.0	1.0	7.0	3.0	0.0	3.0	3.0	4.0	0.0	0.0
ENSSSCG00000028655	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	31.0	0.0	0.0	9.0	4.0	6.0	1.0	5.0	0.0	0.0
ENSSSCG00000028663	10.0	0.0	10.0	0.0	15.0	3.0	2.0	3.0	3.0	1.0	0.0	0.0	2.0	7.0	98.0	2.0	26.0	29.0	14.0	16.0	12.0	18.0	8.0	8.0
ENSSSCG00000028694	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	89.0	2.0	24.0	9.0	12.0	8.0	19.0	7.0	6.0	2.0
ENSSSCG00000028712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0
ENSSSCG00000028724	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	11.0	13.0	2.0	12.0	1.0	12.0	4.0	0.0
ENSSSCG00000028735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	13.0	0.0	5.0	5.0	0.0	2.0	2.0	0.0	0.0	0.0
ENSSSCG00000028737	46.0	9.0	22.0	55.0	40.0	14.0	13.0	16.0	29.0	14.0	0.0	38.0	25.0	41.0	133.0	13.0	45.0	32.0	36.0	39.0	43.0	56.0	12.0	4.0
ENSSSCG00000028755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	2.0	8.0	5.0	0.0	3.0	4.0	0.0	2.0
ENSSSCG00000028759	8.0	0.0	5.0	0.0	6.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	21.0	3.0	16.0	10.0	6.0	4.0	15.0	5.0	12.0	6.0
ENSSSCG00000028771	8.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	9.0	0.0	10.0	2.0	82.0	2.0	20.0	17.0	19.0	3.0	11.0	15.0	10.0	10.0
ENSSSCG00000028777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	4.0	9.0	8.0	0.0	17.0	0.0	0.0
ENSSSCG00000028786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
ENSSSCG00000028804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	6.0	7.0	8.0	5.0	0.0	3.0
ENSSSCG00000028805	48.0	0.0	8.0	3.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	16.0	3.0	6.0	4.0	3.0	0.0	3.0	7.0	4.0	3.0
